Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
1,"tiếng ti vi to quá, giảm đi ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","tiếng ti vi to quá, hạ đi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
2,"tiếng ti vi to quá, giảm đi ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","tiếng ti vi to quá, giảm đi  được chứ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
3,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",điều chỉnh xuống cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
4,giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Có thể giảm cho anh cái radio mau lên,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
5,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trời nóng quá điều chỉnh xuống nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
6,trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trời nóng quá giảm nhiệt độ của cái máy lạnh xuống nhớ với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
7,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng to quá giảm xuống cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
8,tiếng to quá giảm cho mình cái radio xuống,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng to quá giảm cho mình cái radio xuống nha,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
9,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",em gì ơi tăng lên giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",synonym_replacement,,,,
10,em gì ơi tăng giúp anh cái máy nghe nhạc lên với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",em gì ơi tăng giúp anh cái máy nghe nhạc lên với được chứ,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""máy nghe nhạc""}]",politeness_addition,,,,
11,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",bạn ơi điều chỉnh xuống giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
12,bạn ơi giảm giúp mình bóng sưởi về 76%,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",bạn ơi giảm giúp mình bóng sưởi về 76% đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",politeness_addition,,,,
